"","Camera.ID","Date","Species","Number"
"435","27A","12/9/2022","White-tailed Deer",1
"436","27A","12/9/2022","Gray Squirrel",1
"437","27A","12/12/2022","White-tailed Deer",1
"438","27A","12/13/2022","White-tailed Deer",1
"439","27A","12/13/2022","White-tailed Deer",1
"440","39A","10/31/2022","Gray Squirrel",1
"441","39A","10/31/2022","Gray Squirrel",1
"442","39A","11/6/2022","Gray Squirrel",1
"443","39A","11/6/2022","Gray Squirrel",1
"444","39A","11/7/2022","Gray Squirrel",1
"445","39A","11/7/2022","Gray Squirrel",1
"446","39A","11/10/2022","Gray Squirrel",1
"447","39A","11/16/2022","Gray Squirrel",1
"448","39A","11/16/2022","Gray Squirrel",1
"449","39A","11/16/2022","Coyote",1
"450","39A","11/17/2022","Gray Squirrel",1
"451","39A","11/17/2022","Gray Squirrel",1
"452","39A","11/18/2022","Coyote",1
"453","39A","11/19/2022","Gray Squirrel",1
"454","39A","11/20/2022","Gray Squirrel",1
"455","39A","11/21/2022","Gray Squirrel",1
"456","39A","11/21/2022","Gray Squirrel",1
"457","39A","11/23/2022","Gray Squirrel",1
"458","39A","11/23/2022","White-tailed Deer",1
"459","39A","11/25/2022","Bird",1
"460","39A","11/29/2022","White-tailed Deer",1
"461","39A","12/1/2022","Gray Squirrel",1
"462","39A","12/1/2022","Gray Squirrel",1
"463","39A","12/1/2022","Gray Squirrel",1
"464","39A","12/1/2022","Gray Squirrel",1
"465","39A","12/1/2022","Gray Squirrel",1
"466","39A","12/5/2022","White-tailed Deer",1
"467","39A","12/7/2022","Gray Squirrel",1
"468","39A","12/8/2022","White-tailed Deer",1
"469","39A","12/9/2022","Grey Fox",1
"470","53A","11/3/2022","Raccoon",1
"471","53A","11/4/2022","White-tailed Deer",1
"472","53A","11/11/2022","Dog",1
"473","53A","11/23/2022","White-tailed Deer",1
"474","53A","11/23/2022","White-tailed Deer",1
"475","53A","11/24/2022","White-tailed Deer",1
"476","53A","11/24/2022","Person",1
"477","53A","11/24/2022","Dog",1
"478","53A","11/24/2022","Dog",1
"479","53A","12/8/2022","Gray Squirrel",1
"480","53A","12/11/2022","Gray Squirrel",1
"481","55A","10/31/2022","Bird",1
"482","55A","10/31/2022","Bird",7
"483","55A","11/17/2022","Grey Fox",1
"484","55A","12/3/2022","Raccoon",1
"485","55A","12/9/2022","Mouse",1
"486","55A","12/9/2022","Mouse",1
"487","55A","12/9/2022","Gray Squirrel",1
"488","55A","12/10/2022","White-tailed Deer",1
"489","55A","12/11/2022","Gray Squirrel",1
"490","5A","11/1/2022","White-tailed Deer",1
"491","5A","11/15/2022","Gray Squirrel",1
"492","5A","11/23/2022","Gray Squirrel",1
"493","5A","11/23/2022","Gray Squirrel",1
"494","5A","11/25/2022","Raccoon",1
"495","5A","11/28/2022","White-tailed Deer",1
"496","64A","10/31/2022","White-tailed Deer",1
"497","64A","10/31/2022","Gray Squirrel",1
"498","64A","11/1/2022","White-tailed Deer",1
"499","64A","11/2/2022","Gray Squirrel",1
"500","64A","11/3/2022","Gray Squirrel",1
"501","64A","11/5/2022","White-tailed Deer",1
"502","64A","11/6/2022","Gray Squirrel",1
"503","64A","11/6/2022","Gray Squirrel",1
"504","64A","11/9/2022","White-tailed Deer",1
"505","64A","11/10/2022","Gray Squirrel",1
"506","64A","11/10/2022","Gray Squirrel",1
"507","64A","11/10/2022","Gray Squirrel",1
"508","64A","11/14/2022","Gray Squirrel",1
"509","64A","11/16/2022","Gray Squirrel",1
"510","64A","11/17/2022","Gray Squirrel",1
"511","64A","11/19/2022","Gray Squirrel",1
"512","64A","11/20/2022","Gray Squirrel",1
"513","64A","11/22/2022","Gray Squirrel",1
"514","64A","12/3/2022","Gray Squirrel",1
"515","64A","12/4/2022","Gray Squirrel",1
"516","64A","12/5/2022","Grey Fox",1
"517","64A","12/5/2022","Dog",1
"518","64A","12/6/2022","Gray Squirrel",1
"519","64A","12/9/2022","White-tailed Deer",1
"520","64A","12/9/2022","Gray Squirrel",1
"521","64A","12/10/2022","White-tailed Deer",1
"522","64A","12/11/2022","Gray Squirrel",1
"523","64A","12/14/2022","Gray Squirrel",1
"524","71A","10/30/2022","White-tailed Deer",1
"525","71A","10/30/2022","White-tailed Deer",1
"526","71A","10/31/2022","White-tailed Deer",1
"527","71A","11/1/2022","Armadillo",1
"528","71A","11/2/2022","White-tailed Deer",1
"529","71A","11/2/2022","Armadillo",1
"530","71A","11/3/2022","White-tailed Deer",1
"531","71A","11/4/2022","White-tailed Deer",1
"532","71A","11/7/2022","White-tailed Deer",1
"533","71A","11/9/2022","White-tailed Deer",1
"534","71A","11/10/2022","White-tailed Deer",1
"535","71A","11/13/2022","Gray Squirrel",1
"536","71A","11/14/2022","Grey Fox",1
"537","71A","11/14/2022","White-tailed Deer",1
"538","71A","11/16/2022","White-tailed Deer",1
"539","71A","11/17/2022","Person",1
"540","71A","11/18/2022","Coyote",1
"541","71A","11/18/2022","Coyote",1
"542","71A","11/19/2022","Gray Squirrel",1
"543","71A","11/19/2022","Gray Squirrel",1
"544","71A","11/20/2022","Gray Squirrel",1
"545","71A","11/20/2022","Gray Squirrel",1
"546","71A","11/22/2022","White-tailed Deer",1
"547","71A","11/24/2022","Gray Squirrel",1
"548","71A","11/24/2022","Gray Squirrel",1
"549","71A","11/26/2022","Gray Squirrel",1
"550","71A","11/27/2022","Gray Squirrel",1
"551","71A","12/1/2022","White-tailed Deer",1
"552","71A","12/2/2022","White-tailed Deer",1
"553","71A","12/5/2022","White-tailed Deer",1
"554","71A","12/5/2022","Coyote",1
"555","71A","12/6/2022","Coyote",1
"556","71A","12/10/2022","Gray Squirrel",1
"557","85A","10/31/2022","White-tailed Deer",1
"558","85A","10/31/2022","White-tailed Deer",1
"559","85A","10/31/2022","White-tailed Deer",1
"560","85A","10/31/2022","White-tailed Deer",1
"561","85A","10/31/2022","Raccoon",1
"562","85A","10/31/2022","White-tailed Deer",1
"563","85A","11/1/2022","White-tailed Deer",1
"564","85A","11/1/2022","Armadillo",1
"565","85A","11/1/2022","Gray Squirrel",1
"566","85A","11/2/2022","White-tailed Deer",1
"567","85A","11/2/2022","Gray Squirrel",1
"568","85A","11/2/2022","Gray Squirrel",1
"569","85A","11/3/2022","White-tailed Deer",1
"570","85A","11/4/2022","Raccoon",1
"571","85A","11/4/2022","Raccoon",1
"572","85A","11/4/2022","Raccoon",1
"573","85A","11/4/2022","White-tailed Deer",1
"574","85A","11/4/2022","Raccoon",1
"575","85A","11/4/2022","White-tailed Deer",1
"576","85A","11/5/2022","White-tailed Deer",1
"577","85A","11/5/2022","White-tailed Deer",1
"578","85A","11/5/2022","Raccoon",1
"579","85A","11/5/2022","White-tailed Deer",1
"580","85A","11/5/2022","Gray Squirrel",1
"581","85A","11/5/2022","Raccoon",1
"582","85A","11/6/2022","White-tailed Deer",1
"583","85A","11/7/2022","Raccoon",1
"584","85A","11/7/2022","White-tailed Deer",1
"585","85A","11/7/2022","White-tailed Deer",1
"586","85A","11/7/2022","White-tailed Deer",1
"587","85A","11/7/2022","White-tailed Deer",1
"588","85A","11/8/2022","Raccoon",1
"589","85A","11/8/2022","White-tailed Deer",1
"590","85A","11/8/2022","White-tailed Deer",1
"591","85A","11/8/2022","White-tailed Deer",1
"592","85A","11/8/2022","White-tailed Deer",1
"593","85A","11/8/2022","Gray Squirrel",1
"594","85A","11/8/2022","Gray Squirrel",1
"595","85A","11/9/2022","Coyote",1
"596","85A","11/9/2022","White-tailed Deer",1
"597","85A","11/10/2022","White-tailed Deer",1
"598","85A","11/10/2022","Raccoon",1
"599","85A","11/11/2022","White-tailed Deer",1
"600","85A","11/11/2022","Unknown",1
