Camera.ID,Date,Species,Number,Week,Survey
Grandview2_CL_1_Cam_8,11/5/2022,Rat,1,45,1
Grandview2_CL_1_Cam_8,11/5/2022,Rat,1,45,1
Grandview2_CL_1_Cam_8,11/5/2022,Rat,1,45,1
Grandview2_CL_1_Cam_8,11/5/2022,Rat,1,45,1
Grandview2_CL_1_Cam_8,11/5/2022,Fox Squirrel,1,45,1
Grandview2_CL_1_Cam_8,11/5/2022,Fox Squirrel,1,45,1
Grandview2_CL_1_Cam_8,11/5/2022,Armadillo,1,45,1
Grandview2_CL_1_Cam_8,11/5/2022,Opossum,1,45,1
Grandview2_CL_1_Cam_9,11/5/2022,Opossum,1,45,1
18A,11/6/2022,Gray Squirrel,1,46,2
194A,11/6/2022,Gray Squirrel,1,46,2
202A,11/6/2022,White-tailed Deer,1,46,2
209A,11/6/2022,Gray Squirrel,1,46,2
209A,11/6/2022,White-tailed Deer,1,46,2
210A,11/6/2022,White-tailed Deer,1,46,2
210A,11/6/2022,White-tailed Deer,1,46,2
219A,11/6/2022,White-tailed Deer,1,46,2
27A,11/6/2022,Gray Squirrel,1,46,2
39A,11/6/2022,Gray Squirrel,1,46,2
39A,11/6/2022,Gray Squirrel,1,46,2
64A,11/6/2022,Gray Squirrel,1,46,2
64A,11/6/2022,Gray Squirrel,1,46,2
85A,11/6/2022,White-tailed Deer,1,46,2
88A,11/6/2022,Gray Squirrel,1,46,2
8A,11/6/2022,White-tailed Deer,1,46,2
8A,11/6/2022,White-tailed Deer,1,46,2
92A,11/6/2022,Raccoon,1,46,2
21B,11/6/2022,Dog,1,46,2
30B,11/6/2022,Gray Squirrel,1,46,2
30B,11/6/2022,Gray Squirrel,1,46,2
30B,11/6/2022,Gray Squirrel,1,46,2
36B,11/6/2022,Raccoon,1,46,2
49B,11/6/2022,Gray Squirrel,1,46,2
49B,11/6/2022,White-tailed Deer,1,46,2
49B,11/6/2022,Gray Squirrel,1,46,2
49B,11/6/2022,Gray Squirrel,1,46,2
49B,11/6/2022,Gray Squirrel,1,46,2
67B,11/6/2022,White-tailed Deer,1,46,2
67B,11/6/2022,White-tailed Deer,1,46,2
67B,11/6/2022,White-tailed Deer,1,46,2
82B,11/6/2022,Gray Squirrel,1,46,2
Grandview2_CL_1_Cam_11,11/6/2022,Raccoon,1,46,2
Grandview2_CL_1_Cam_11,11/6/2022,Bobcat,1,46,2
Grandview2_CL_1_Cam_12,11/6/2022,Fox Squirrel,1,46,2
Grandview2_CL_1_Cam_12,11/6/2022,Fox Squirrel,1,46,2
Grandview2_CL_1_Cam_12,11/6/2022,White-tailed Deer,1,46,2
Grandview2_CL_1_Cam_14,11/6/2022,White-tailed Deer,1,46,2
Grandview2_CL_1_Cam_15,11/6/2022,White-tailed Deer,1,46,2
Grandview2_CL_1_Cam_15,11/6/2022,Bird,1,46,2
Grandview2_CL_1_Cam_15,11/6/2022,Gray Squirrel,1,46,2
Grandview2_CL_1_Cam_15,11/6/2022,Bird,1,46,2
Grandview2_CL_1_Cam_15,11/6/2022,Gray Squirrel,1,46,2
Grandview2_CL_1_Cam_15,11/6/2022,Gray Squirrel,1,46,2
Grandview2_CL_1_Cam_15,11/6/2022,Gray Squirrel,1,46,2
Grandview2_CL_1_Cam_15,11/6/2022,Gray Squirrel,1,46,2
Grandview2_CL_1_Cam_15,11/6/2022,Gray Squirrel,1,46,2
Grandview2_CL_1_Cam_1,11/6/2022,Opossum,1,46,2
Grandview2_CL_1_Cam_2,11/6/2022,Cottontail,1,46,2
Grandview2_CL_1_Cam_2,11/6/2022,Cottontail,1,46,2
Grandview2_CL_1_Cam_3,11/6/2022,Raccoon,1,46,2
Grandview2_CL_1_Cam_4,11/6/2022,Raccoon,3,46,2
Grandview2_CL_1_Cam_4,11/6/2022,White-tailed Deer,1,46,2
Grandview2_CL_1_Cam_4,11/6/2022,Fox Squirrel,1,46,2
Grandview2_CL_1_Cam_4,11/6/2022,Fox Squirrel,1,46,2
Grandview2_CL_1_Cam_4,11/6/2022,Fox Squirrel,1,46,2
Grandview2_CL_1_Cam_8,11/6/2022,Opossum,1,46,2
Grandview2_CL_1_Cam_8,11/6/2022,Rat,1,46,2
Grandview2_CL_1_Cam_8,11/6/2022,Rat,1,46,2
Grandview2_CL_1_Cam_8,11/6/2022,Raccoon,1,46,2
Grandview2_CL_1_Cam_8,11/6/2022,Rat,1,46,2
Grandview2_CL_1_Cam_8,11/6/2022,Rat,1,46,2
Grandview2_CL_1_Cam_8,11/6/2022,Rat,1,46,2
Grandview2_CL_1_Cam_8,11/6/2022,Rat,1,46,2
Grandview2_CL_1_Cam_8,11/6/2022,Rat,1,46,2
Grandview2_CL_1_Cam_8,11/6/2022,Rat,1,46,2
Grandview2_CL_1_Cam_8,11/6/2022,Fox Squirrel,1,46,2
Grandview2_CL_1_Cam_8,11/6/2022,Fox Squirrel,1,46,2
Grandview2_CL_1_Cam_8,11/6/2022,Fox Squirrel,1,46,2
Grandview2_CL_1_Cam_8,11/6/2022,Fox Squirrel,1,46,2
Grandview2_CL_1_Cam_8,11/6/2022,Rat,1,46,2
Grandview2_CL_1_Cam_8,11/6/2022,Rat,1,46,2
Grandview2_CL_1_Cam_8,11/6/2022,Rat,1,46,2
Grandview2_CL_1_Cam_8,11/6/2022,Rat,1,46,2
Grandview2_CL_1_Cam_8,11/6/2022,Opossum,1,46,2
Grandview2_CL_1_Cam_8,11/6/2022,Opossum,1,46,2
15A,11/7/2022,White-tailed Deer,1,46,2
15A,11/7/2022,White-tailed Deer,1,46,2
15A,11/7/2022,White-tailed Deer,1,46,2
15A,11/7/2022,White-tailed Deer,1,46,2
15A,11/7/2022,White-tailed Deer,1,46,2
15A,11/7/2022,White-tailed Deer,1,46,2
194A,11/7/2022,White-tailed Deer,1,46,2
198A,11/7/2022,White-tailed Deer,1,46,2
198A,11/7/2022,White-tailed Deer,1,46,2
198A,11/7/2022,White-tailed Deer,1,46,2
1A,11/7/2022,White-tailed Deer,1,46,2
209A,11/7/2022,White-tailed Deer,1,46,2
209A,11/7/2022,Gray Squirrel,1,46,2
20A,11/7/2022,White-tailed Deer,1,46,2
20A,11/7/2022,Coyote,1,46,2
222A,11/7/2022,White-tailed Deer,1,46,2
222A,11/7/2022,Coyote,1,46,2
222A,11/7/2022,White-tailed Deer,1,46,2
227A,11/7/2022,White-tailed Deer,1,46,2
39A,11/7/2022,Gray Squirrel,1,46,2
39A,11/7/2022,Gray Squirrel,1,46,2
71A,11/7/2022,White-tailed Deer,1,46,2
85A,11/7/2022,Raccoon,1,46,2
85A,11/7/2022,White-tailed Deer,1,46,2
85A,11/7/2022,White-tailed Deer,1,46,2
85A,11/7/2022,White-tailed Deer,1,46,2
85A,11/7/2022,White-tailed Deer,1,46,2
88A,11/7/2022,White-tailed Deer,1,46,2
88A,11/7/2022,White-tailed Deer,1,46,2
88A,11/7/2022,Gray Squirrel,1,46,2
21B,11/7/2022,White-tailed Deer,1,46,2
21B,11/7/2022,White-tailed Deer,1,46,2
21B,11/7/2022,Gray Squirrel,1,46,2
21B,11/7/2022,White-tailed Deer,1,46,2
34D,11/7/2022,Gray Squirrel,1,46,2
34D,11/7/2022,Gray Squirrel,1,46,2
34D,11/7/2022,Gray Squirrel,1,46,2
34D,11/7/2022,Gray Squirrel,1,46,2
34D,11/7/2022,Armadillo,1,46,2
45B,11/7/2022,White-tailed Deer,1,46,2
45B,11/7/2022,Gray Squirrel,1,46,2
45B,11/7/2022,Gray Squirrel,1,46,2
49B,11/7/2022,Gray Squirrel,1,46,2
67B,11/7/2022,Gray Squirrel,1,46,2
67B,11/7/2022,White-tailed Deer,1,46,2
73B,11/7/2022,Coyote,1,46,2
82B,11/7/2022,Gray Squirrel,1,46,2
82B,11/7/2022,Gray Squirrel,1,46,2
82B,11/7/2022,Gray Squirrel,1,46,2
Grandview2_CL_1_Cam_12,11/7/2022,White-tailed Deer,1,46,2
Grandview2_CL_1_Cam_12,11/7/2022,White-tailed Deer,1,46,2
Grandview2_CL_1_Cam_12,11/7/2022,White-tailed Deer,1,46,2
Grandview2_CL_1_Cam_12,11/7/2022,White-tailed Deer,1,46,2
Grandview2_CL_1_Cam_13,11/7/2022,Cottontail,1,46,2
Grandview2_CL_1_Cam_13,11/7/2022,Cottontail,1,46,2
Grandview2_CL_1_Cam_13,11/7/2022,Raccoon,1,46,2
Grandview2_CL_1_Cam_13,11/7/2022,Raccoon,1,46,2
Grandview2_CL_1_Cam_13,11/7/2022,Armadillo,1,46,2
Grandview2_CL_1_Cam_13,11/7/2022,White-tailed Deer,1,46,2
Grandview2_CL_1_Cam_13,11/7/2022,White-tailed Deer,1,46,2
Grandview2_CL_1_Cam_14,11/7/2022,Person,1,46,2
Grandview2_CL_1_Cam_14,11/7/2022,Person,1,46,2
Grandview2_CL_1_Cam_15,11/7/2022,Armadillo,1,46,2
Grandview2_CL_1_Cam_15,11/7/2022,Gray Squirrel,1,46,2
Grandview2_CL_1_Cam_15,11/7/2022,Gray Squirrel,1,46,2
Grandview2_CL_1_Cam_15,11/7/2022,Gray Squirrel,1,46,2
Grandview2_CL_1_Cam_1,11/7/2022,Opossum,1,46,2
Grandview2_CL_1_Cam_1,11/7/2022,Opossum,1,46,2
Grandview2_CL_1_Cam_1,11/7/2022,Gray Squirrel,1,46,2
Grandview2_CL_1_Cam_1,11/7/2022,Gray Squirrel,1,46,2
Grandview2_CL_1_Cam_1,11/7/2022,Gray Squirrel,1,46,2
Grandview2_CL_1_Cam_2,11/7/2022,Opossum,1,46,2
Grandview2_CL_1_Cam_7,11/7/2022,Bobcat,1,46,2
Grandview2_CL_1_Cam_8,11/7/2022,Rat,1,46,2
Grandview2_CL_1_Cam_8,11/7/2022,Cottontail,1,46,2
Grandview2_CL_1_Cam_8,11/7/2022,Rat,1,46,2
Grandview2_CL_1_Cam_8,11/7/2022,Rat,1,46,2
Grandview2_CL_1_Cam_8,11/7/2022,Cottontail,1,46,2
Grandview2_CL_1_Cam_8,11/7/2022,Fox Squirrel,1,46,2
Grandview2_CL_1_Cam_8,11/7/2022,Fox Squirrel,1,46,2
Grandview2_CL_1_Cam_8,11/7/2022,Fox Squirrel,1,46,2
Grandview2_CL_1_Cam_8,11/7/2022,Fox Squirrel,1,46,2
Grandview2_CL_1_Cam_8,11/7/2022,Fox Squirrel,1,46,2
Grandview2_CL_1_Cam_8,11/7/2022,Armadillo,1,46,2
Grandview2_CL_1_Cam_8,11/7/2022,Rat,1,46,2
Grandview2_CL_1_Cam_8,11/7/2022,Rat,1,46,2
Grandview2_CL_1_Cam_8,11/7/2022,Armadillo,1,46,2
Grandview2_CL_1_Cam_8,11/7/2022,Armadillo,1,46,2
Grandview2_CL_1_Cam_8,11/7/2022,Rat,1,46,2
Grandview2_CL_1_Cam_9,11/7/2022,Armadillo,1,46,2
Grandview2_CL_1_Cam_9,11/7/2022,Armadillo,1,46,2
Grandview2_CL_1_Cam_9,11/7/2022,Armadillo,1,46,2
202A,11/8/2022,Gray Squirrel,1,46,2
204A,11/8/2022,White-tailed Deer,1,46,2
204A,11/8/2022,White-tailed Deer,1,46,2
209A,11/8/2022,White-tailed Deer,1,46,2
85A,11/8/2022,Raccoon,1,46,2
85A,11/8/2022,White-tailed Deer,1,46,2
85A,11/8/2022,White-tailed Deer,1,46,2
85A,11/8/2022,White-tailed Deer,1,46,2
85A,11/8/2022,White-tailed Deer,1,46,2
85A,11/8/2022,Gray Squirrel,1,46,2
85A,11/8/2022,Gray Squirrel,1,46,2
21B,11/8/2022,White-tailed Deer,1,46,2
21B,11/8/2022,White-tailed Deer,1,46,2
21B,11/8/2022,Dog,1,46,2
21B,11/8/2022,Gray Squirrel,1,46,2
30B,11/8/2022,Gray Squirrel,1,46,2
34D,11/8/2022,Gray Squirrel,1,46,2
34D,11/8/2022,Gray Squirrel,1,46,2
34D,11/8/2022,Gray Squirrel,1,46,2
45B,11/8/2022,White-tailed Deer,1,46,2
45B,11/8/2022,Gray Squirrel,1,46,2
67B,11/8/2022,White-tailed Deer,1,46,2
67B,11/8/2022,White-tailed Deer,1,46,2
73B,11/8/2022,White-tailed Deer,1,46,2
82B,11/8/2022,Person,1,46,2
Grandview2_CL_1_Cam_10,11/8/2022,Raccoon,1,46,2
Grandview2_CL_1_Cam_11,11/8/2022,Opossum,1,46,2
Grandview2_CL_1_Cam_12,11/8/2022,White-tailed Deer,1,46,2
Grandview2_CL_1_Cam_14,11/8/2022,Person,1,46,2
Grandview2_CL_1_Cam_14,11/8/2022,Person,1,46,2
